row_title,obj_title,obj_cost,obj_reqs
Tier 1 - Stranger,(Stranger) Boring,12 SP,N/A
Tier 1 - Stranger,(Stranger) Imposter Sus,12 SP,N/A
Tier 1 - Stranger,(Stranger) Truth,13 SP,N/A
Tier 1 - Stranger,(Stranger) Bluff,14 SP,N/A
Tier 1 - Stranger,(Stranger/Shaker) Sensorium,15 SP,N/A
Power Copy,Power Copy Mover,,N/A
Power Copy,(Mover/Thinker) Axehead,2 SP,N/A
Power Copy,(Mover) Dovetail,2 SP,N/A
Power Copy,(Mover/Thinker) Foxtrot,2 SP,N/A
Power Copy,(Mover) Getaway,2 SP,N/A
Power Copy,(Mover/Shaker) Pouffe,2 SP,N/A
Power Copy,(Mover/Shaker) Scroll,2 SP,N/A
Power Copy,(Mover) Secondhand,2 SP,N/A
Power Copy,(Mover/Shaker/Brute) Virago,2 SP,N/A
Power Copy,(Mover/Breaker) Battery,3 SP,N/A
Power Copy,(Mover) Flapper,3 SP,N/A
Power Copy,(Mover) Longscratch,3 SP,N/A
Power Copy,(Mover/Shaker) Tailgate,3 SP,N/A
Power Copy,(Mover) Trickster,3 SP,N/A
Power Copy,(Mover) Whippersnap,3 SP,N/A
Power Copy,(Mover) Abhorror (Teleporter),4 SP,N/A
Power Copy,(Mover) Mouse Protector,4 SP,N/A
Power Copy,(Mover) Shortcut,4 SP,N/A
Power Copy,(Mover) Albatros,5 SP,N/A
Power Copy,(Mover/Shaker) Grandiose,5 SP,N/A
Power Copy,(Mover/Thinker) Relay,5 SP,N/A
Power Copy,(Mover) Velocity,5 SP,N/A
Power Copy,(Mover) Bambina,6 SP,N/A
Power Copy,(Mover/Striker) Foulcock,6 SP,N/A
Power Copy,(Mover/Blaster) Rime,6 SP,N/A
Power Copy,(Mover) Kirin White,8 SP,N/A
Power Copy,(Mover/Tinker) Snag,8 SP,N/A
Power Copy,(Mover/Thinker) Watch,8 SP,N/A
Power Copy,(Mover/Shaker) Myrddin,9 SP,N/A
Power Copy,(Mover/Striker) Black Kaze,10 SP,N/A
Power Copy,(Mover) Strider,12 SP,N/A
Power Copy,Power Copy Shaker,,N/A
Power Copy,(Shaker) Rune,1 SP,N/A
Power Copy,(Shaker) Crested,2 SP,N/A
Power Copy,(Shaker) Cricket,2 SP,N/A
Power Copy,(Shaker) Fathom,2 SP,N/A
Power Copy,(Shaker) Final Hour,2 SP,N/A
Power Copy,(Shaker/Mover) King of Cups,2 SP,N/A
Power Copy,(Shaker/Brute) Califa de Perro,3 SP,N/A
Power Copy,(Shaker/Mover) Chronicler,3 SP,N/A
Power Copy,(Shaker) Cozen,3 SP,N/A
Power Copy,(Shaker/Thinker) Dredge,3 SP,N/A
Power Copy,(Shaker) End of Days,3 SP,N/A
Power Copy,(Shaker) Gong,3 SP,N/A
Power Copy,(Shaker) Grue,3 SP,N/A
Power Copy,(Shaker) Kazikli Bey,3 SP,N/A
Power Copy,(Shaker) Licit,3 SP,N/A
Power Copy,(Shaker) Lizardtail II,3 SP,N/A
Power Copy,(Shaker) Naphtha,3 SP,N/A
Power Copy,(Shaker) Parian,3 SP,N/A
Power Copy,(Shaker) Perdition,3 SP,N/A
Power Copy,(Shaker/Brute) Prong (Mercenary),3 SP,N/A
Power Copy,(Shaker/Blaster) Shielder,3 SP,N/A
Power Copy,(Shaker) Softball,3 SP,N/A
Power Copy,(Shaker) Tomcat,3 SP,N/A
Power Copy,(Shaker) Velvet,3 SP,N/A
Power Copy,(Shaker) Vince Crowley,3 SP,N/A
Power Copy,(Shaker/Mover) Balk,4 SP,N/A
Power Copy,(Shaker) Bastion,4 SP,N/A
Power Copy,(Shaker) Cadence,4 SP,N/A
Power Copy,(Shaker/Striker) Carnie,4 SP,N/A
Power Copy,(Shaker/Master) Crosswise,4 SP,N/A
Power Copy,(Shaker) Fleur,4 SP,N/A
Power Copy,(Shaker/Trump) Grue (Second Trigger),4 SP,N/A
Power Copy,(Shaker/Thinker) Moonsong,4 SP,N/A
Power Copy,(Shaker/Master) Pearl,4 SP,N/A
Power Copy,(Shaker) Rosary,4 SP,N/A
Power Copy,(Shaker) Scape (2D),4 SP,N/A
Power Copy,(Shaker) Scape (Weakener),4 SP,N/A
Power Copy,(Shaker) Skidmark,4 SP,N/A
Power Copy,(Shaker) Speaker of the House,4 SP,N/A
Power Copy,(Shaker) Trial,4 SP,N/A
Power Copy,(Shaker) Triumph,4 SP,N/A
Power Copy,(Shaker) Whirlygig,4 SP,N/A
Power Copy,(Shaker/Blaster) Eligos,5 SP,N/A
Power Copy,(Shaker) King of Cups (Second Trigger),5 SP,N/A
Power Copy,(Shaker) Scape (Sculpter),5 SP,N/A
Power Copy,(Shaker) Stormtiger,5 SP,N/A
Power Copy,(Shaker) Tempera,5 SP,N/A
Power Copy,(Shaker) Vex,5 SP,N/A
Power Copy,(Shaker) Barker,6 SP,N/A
Power Copy,(Shaker/Mover) Burnscar,6 SP,N/A
Power Copy,(Shaker/Tinker) Clay,6 SP,N/A
Power Copy,(Shaker) Crucible,6 SP,N/A
Power Copy,(Shaker) Iron Rain,6 SP,N/A
Power Copy,(Shaker) Kaiser,6 SP,N/A
Power Copy,(Shaker) Sanguine,6 SP,N/A
Power Copy,(Shaker/Thinker) Shamrock,6 SP,N/A
Power Copy,(Shaker) Sifara,6 SP,N/A
Power Copy,(Shaker) Snaptrap,6 SP,N/A
Power Copy,(Shaker) Snuff,6 SP,N/A
Power Copy,(Shaker) Adamant,7 SP,N/A
Power Copy,(Shaker) Auroch,7 SP,N/A
Power Copy,(Shaker/Thinker) Gully,7 SP,N/A
Power Copy,(Shaker) Krieg,7 SP,N/A
Power Copy,(Shaker) Shuffle,7 SP,N/A
Power Copy,(Shaker) Subject 3016,7 SP,N/A
Power Copy,(Shaker) Agnes Court,8 SP,N/A
Power Copy,(Shaker) Cache,8 SP,N/A
Power Copy,(Shaker) Capricorn,8 SP,Required: Character-Insert; Required: Twin; Required: Face Thyself
Power Copy,(Shaker) Empusa,8 SP,N/A
Power Copy,(Shaker) Gibbet,8 SP,N/A
Power Copy,(Shaker) Narwhal,8 SP,N/A
Power Copy,(Shaker) Shatterbird,8 SP,N/A
Power Copy,(Shaker/Breaker) Cinereal,9 SP,N/A
Power Copy,(Shaker) Exalt,9 SP,N/A
Power Copy,(Shaker) Hunter,9 SP,N/A
Power Copy,(Shaker) Scape (Corkscrew),9 SP,N/A
Power Copy,(Shaker/Stranger) Screamer,9 SP,N/A
Power Copy,(Shaker) Sundancer,9 SP,N/A
Power Copy,(Shaker) Cretan,10 SP,N/A
Power Copy,(Shaker/Blaster) Damsel of Distress ,10 SP,N/A
Power Copy,(Shaker) MYOSHA,10 SP,N/A
Power Copy,(Shaker) Ogun,10 SP,N/A
Power Copy,(Shaker) Vista,10 SP,N/A
Power Copy,(Shaker) Winter,10 SP,N/A
Power Copy,(Shaker) Dispatch,11 SP,N/A
Power Copy,(Shaker) Nursery,11 SP,N/A
Power Copy,(Shaker) Semiramis,11 SP,N/A
Power Copy,(Shaker/Master) Jed Tylor,12 SP,N/A
Power Copy,(Shaker) Labyrinth,12 SP,N/A
Power Copy,(Shaker) Scaffold,12 SP,N/A
Power Copy,(Shaker) Tōng Líng Tǎ,13 SP,N/A
Power Copy,(Shaker) Grey Boy,15 SP,N/A
Power Copy,Power Copy Brute,,N/A
Power Copy,(Brute) Nemean,2 SP,N/A
Power Copy,(Brute/Mover) Glory Girl,3 SP,N/A
Power Copy,(Brute) Cuff,3 SP,N/A
Power Copy,(Brute) Aegis,4 SP,N/A
Power Copy,(Brute/Mover) Antares,4 SP,N/A
Power Copy,(Brute) Bijou,4 SP,N/A
Power Copy,(Brute) Burned Man,4 SP,N/A
Power Copy,(Brute) Crimson,4 SP,N/A
Power Copy,(Brute) Chubster,5 SP,N/A
Power Copy,(Brute) Sveta (Orchard),5 SP,N/A
Power Copy,(Brute/Shaker) Oxfair,5 SP,N/A
Power Copy,(Brute) Gwerrus,5 SP,N/A
Power Copy,(Brute) Stonewall,5 SP,N/A
Power Copy,(Brute/Mover) Chuckles,6 SP,N/A
Power Copy,(Brute/Breaker) Manpower,6 SP,N/A
Power Copy,(Brute) The Flower of the Hecatomb,6 SP,N/A
Power Copy,(Brute) Vantage,7 SP,N/A
Power Copy,(Brute/Breaker) Fenja/Menja,8 SP,N/A
Power Copy,(Brute) Lung,9 SP,N/A
Power Copy,(Brute) Gavel,10 SP,N/A
Power Copy,(Brute/Striker) Torso,10 SP,N/A
Power Copy,(Brute/Shaker) Moose,13 SP,N/A
Power Copy,(Brute/Mover/Shaker) Tritium,13 SP,N/A
Power Copy,(Brute) Crawler,15 SP,N/A
Power Copy,Power Copy Breaker,,N/A
Power Copy,(Breaker) Prancer,2 SP,N/A
Power Copy,(Breaker) Cradlegrave,2 SP,N/A
Power Copy,(Breaker/Mover) Bloodplay,3 SP,N/A
Power Copy,(Breaker/Shaker) Disjoint,3 SP,N/A
Power Copy,(Breaker) Cleat,3 SP,N/A
Power Copy,(Breaker) Shadow Stalker,4 SP,N/A
Power Copy,(Breaker) Caryatid,5 SP,N/A
Power Copy,(Breaker) Koschei,5 SP,N/A
Power Copy,(Breaker/Striker) Wendigo,5 SP,N/A
Power Copy,(Breaker) Young Buck,5 SP,N/A
Power Copy,(Breaker) Alabaster ,6 SP,N/A
Power Copy,(Breaker) Grumman,6 SP,N/A
Power Copy,(Breaker/Shaker) Sploosh,6 SP,N/A
Power Copy,(Breaker) Fog,7 SP,N/A
Power Copy,(Breaker) Gasconade,7 SP,N/A
Power Copy,(Breaker/Master) Hidden Hand,7 SP,N/A
Power Copy,(Breaker) Acidbath,8 SP,N/A
Power Copy,(Breaker) Annex,8 SP,N/A
Power Copy,(Breaker) Kingdom Come,8 SP,N/A
Power Copy,(Breaker/Master) Prince Prosperous,8 SP,N/A
Power Copy,(Breaker/Changer) Wanton,8 SP,N/A
Power Copy,(Breaker) Night,9 SP,N/A
Power Copy,(Breaker) Night Hag,10 SP,N/A
Power Copy,(Breaker) Colt,12 SP,N/A
Power Copy,(Breaker) Lord of Loss,15 SP,N/A
Power Copy,Power Copy Master,,N/A
Power Copy,(Master/Striker) Guillaume Vasil,2 SP,N/A
Power Copy,(Master) Juliette Vasil,2 SP,N/A
Power Copy,(Master) Thirteenth Hour,2 SP,N/A
Power Copy,(Master/Stranger) Blister,3 SP,N/A
Power Copy,(Master) Chicken Little,3 SP,N/A
Power Copy,(Master/Thinker)  Chitter,3 SP,N/A
Power Copy,(Master) Coiffure,3 SP,N/A
Power Copy,(Master) Felix Swoop,3 SP,N/A
Power Copy,(Master/Striker) Minakhm,3 SP,N/A
Power Copy,(Master) Mukade,3 SP,N/A
Power Copy,(Master) Nicholas Vasil,3 SP,N/A
Power Copy,(Master/Brute) Roman Vasil,3 SP,N/A
Power Copy,(Master) Bitch,4 SP,N/A
Power Copy,(Master/Shaker) Engel,4 SP,N/A
Power Copy,(Master) Furcate,4 SP,N/A
Power Copy,(Master) Crusader,5 SP,N/A
Power Copy,(Master) Decadent,5 SP,N/A
Power Copy,(Master/Thinker) Effervescent,5 SP,N/A
Power Copy,(Master) Entourage,5 SP,N/A
Power Copy,(Master) Prism,5 SP,N/A
Power Copy,(Master/Thinker) Syndicate,5 SP,N/A
Power Copy,(Master) Ursa Aurora,5 SP,N/A
Power Copy,(Master) Pretender,6 SP,N/A
Power Copy,(Master) Princess Scarecrow,6 SP,N/A
Power Copy,(Master/Brute) Ramfair,6 SP,N/A
Power Copy,(Master/Thinker) Skitter,6 SP,N/A
Power Copy,(Master) Bamet,7 SP,N/A
Power Copy,(Master) Kudzu,7 SP,N/A
Power Copy,(Master/Thinker) Mockument,7 SP,N/A
Power Copy,(Master/Trump) Monokeros,7 SP,N/A
Power Copy,(Master) Regent,7 SP,N/A
Power Copy,(Master) Spree,7 SP,N/A
Power Copy,(Master) Canary,8 SP,N/A
Power Copy,(Master/Shaker) Grim Survivor,8 SP,N/A
Power Copy,(Master) Lustrum,8 SP,N/A
Power Copy,(Master/Striker) Mockshow,8 SP,N/A
Power Copy,(Master) Noontide,8 SP,N/A
Power Copy,(Master) Saltykov,8 SP,N/A
Power Copy,(Master) Cherish,9 SP,N/A
Power Copy,(Master) Hookline,9 SP,N/A
Power Copy,(Master/Shaker) Love Lost,10 SP,N/A
Power Copy,(Master) Teem,10 SP,N/A
Power Copy,(Master/Striker) Florence Vasil,10 SP,N/A
Power Copy,(Master) Breed,11 SP,N/A
Power Copy,(Master/Changer) Satyrical,11 SP,N/A
Power Copy,(Master/Trump) Teacher,11 SP,N/A
Power Copy,(Master) Egg,12 SP,N/A
Power Copy,(Master/Stranger) Mama Mathers,12 SP,N/A
Power Copy,(Master) Genesis,13 SP,N/A
Power Copy,(Master/Stranger) Valefor,13 SP,N/A
Power Copy,(Master) Moord Nag,13 SP,N/A
Power Copy,(Master) Nilbog,14 SP,N/A
Power Copy,(Master) Heartbreaker,15 SP,N/A
Power Copy,Power Copy Tinker,,N/A
Power Copy,(Tinker) Bauble,2 SP| 1 SP,N/A
Power Copy,(Tinker) Ex Nihilo,2 SP| 1 SP,N/A
Power Copy,(Tinker) Blasto,3 SP| 1 SP,N/A
Power Copy,(Tinker) Cranial,3 SP| 1 SP,N/A
Power Copy,(Tinker) Erik Granholme,3 SP| 1 SP,N/A
Power Copy,(Tinker) Fishtank,3 SP| 1 SP,N/A
Power Copy, (Tinker) Jiǎ,3 SP| 1 SP,N/A
Power Copy,(Tinker) Pwn,3 SP| 1 SP,N/A
Power Copy,(Tinker) Pyrotechnical,3 SP| 1 SP,N/A
Power Copy,(Tinker) Riveting,3 SP| 1 SP,N/A
Power Copy,(Tinker) R.O.K.,3 SP| 1 SP,N/A
Power Copy,(Tinker) Stinger,3 SP| 1 SP,N/A
Power Copy,(Tinker) Big Rig,4 SP| 1 SP,N/A
Power Copy,(Tinker) Cask,4 SP| 1 SP,N/A
Power Copy,(Tinker) Glace,4 SP| 1 SP,N/A
Power Copy,(Tinker) Leet,4 SP| 1 SP,N/A
Power Copy,(Tinker) Last Minute,4 SP| 1 SP,N/A
Power Copy,(Tinker) Rattenfänger,4 SP| 1 SP,N/A
Power Copy,(Tinker) Trainwreck,4 SP| 1 SP,N/A
Power Copy,(Tinker) Uppercrust,4 SP,N/A
Power Copy,(Tinker) Wormcoil,4 SP| 1 SP,N/A
Power Copy,(Tinker) Armsmaster,5 SP| 2 SP,N/A
Power Copy,(Tinker) Kid Win,5 SP| 2 SP,N/A
Power Copy,(Tinker) Breathless,5 SP| 2 SP,N/A
Power Copy,(Tinker) Lookout,5 SP| 2 SP,N/A
Power Copy,(Tinker) Particulate,5 SP| 2 SP,N/A
Power Copy,(Tinker) Squealer,5 SP| 2 SP,N/A
Power Copy,(Tinker) Steamwheel,5 SP| 2 SP,N/A
Power Copy,(Tinker) Tecton,5 SP| 2 SP,N/A
Power Copy,(Tinker) Dodge,6 SP| 2 SP,N/A
Power Copy,(Tinker) Gundeck,6 SP| 2 SP,N/A
Power Copy,(Tinker) Jamestowner,6 SP| 2 SP,N/A
Power Copy,(Tinker) Sphere/Mannequin,6 SP| 2 SP,N/A
Power Copy,(Tinker) Bitter Pill,7 SP| 2 SP,N/A
Power Copy,(Tinker) Chopshop,7 SP| 2 SP,N/A
Power Copy,(Tinker/Changer) Cryptid,7 SP| 2 SP,N/A
Power Copy,(Tinker) Withdrawal,7 SP| 2 SP,N/A
Power Copy,(Tinker/Thinker) Cradle,8 SP| 3 SP,N/A
Power Copy,(Tinker) Masamune,8 SP| 4 SP,N/A
Power Copy,(Tinker) Bakuda,9 SP| 4 SP,N/A
Power Copy,(Tinker) Lab Rat,9 SP| 4 SP,N/A
Power Copy,(Tinker) Bonesaw,12 SP| 6 SP,N/A
Power Copy,(Tinker) String Theory,13 SP| 6 SP,N/A
Power Copy,Power Copy Blaster,,N/A
Power Copy,(Blaster) Cassiterite,2 SP,N/A
Power Copy,(Blaster) Grapnel,2 SP,N/A
Power Copy,(Blaster) Lightstar,2 SP,N/A
Power Copy,(Blaster) Rifle,2 SP,N/A
Power Copy,(Blaster) Slingstone,2 SP,N/A
Power Copy,(Blaster) Smokey Bandit,2 SP,N/A
Power Copy,(Blaster) Starlet,2 SP,N/A
Power Copy,(Blaster/Master) Aroa Vasil,3 SP,N/A
Power Copy,(Blaster) Corax,3 SP,N/A
Power Copy,(Blaster) Gregor the Snail,3 SP,N/A
Power Copy,(Blaster/Shaker) Jacklight,3 SP,N/A
Power Copy,(Blaster) ReSound,3 SP,N/A
Power Copy,(Blaster) Signal Fire,3 SP,N/A
Power Copy,(Blaster/Thinker) Codex,4 SP,N/A
Power Copy,(Blaster) Etna,4 SP,N/A
Power Copy,(Blaster) Miss Militia,4 SP,N/A
Power Copy,(Blaster/Shaker) Mokosh,4 SP,N/A
Power Copy,(Blaster) Backwoods,5 SP,N/A
Power Copy,(Blaster) Flashbang,5 SP,N/A
Power Copy,(Blaster/Thinker) Floret,5 SP,N/A
Power Copy,(Blaster) Spitfire,5 SP,N/A
Power Copy,(Blaster/Mover) Auger,6 SP,N/A
Power Copy,(Blaster) Fume,6 SP,N/A
Power Copy,(Blaster/Striker) Jouster,6 SP,N/A
Power Copy,(Blaster/Brute) Kitchen Sink,6 SP,N/A
Power Copy,(Blaster/Mover) Lady Photon,6 SP,N/A
Power Copy,(Blaster) Quarrel,6 SP,N/A
Power Copy,(Blaster/Master) Seir,6 SP,N/A
Power Copy,(Blaster/Shaker) Tunguska,6 SP,N/A
Power Copy,(Blaster) Halo,7 SP,N/A
Power Copy,(Blaster/Mover) Laserdream,7 SP,N/A
Power Copy,(Blaster/Shaker) Ligeia,7 SP,N/A
Power Copy,(Blaster/Tinker) Precipice,7 SP,N/A
Power Copy,(Blaster) Snubnose,7 SP,N/A
Power Copy,(Blaster) Heartsoul,8 SP,N/A
Power Copy,(Blaster/Shaker) Lightslinger,8 SP,N/A
Power Copy,(Blaster) Mayday,8 SP,N/A
Power Copy,(Blaster/Brute) Sidepiece,8 SP,N/A
Power Copy,(Blaster) Solarstare,8 SP,N/A
Power Copy,(Blaster/Thinker) Spruce,8 SP,N/A
Power Copy,(Blaster/Thinker) Crystalclear,9 SP,N/A
Power Copy,(Blaster) Fume Hood,9 SP,N/A
Power Copy,(Blaster) Paris,9 SP,N/A
Power Copy,(Blaster/Mover) Revel,9 SP,N/A
Power Copy,(Blaster) Finale,10 SP,N/A
Power Copy,(Blaster) Lionwing,10 SP,N/A
Power Copy,(Blaster/Breaker) Purity,10 SP,N/A
Power Copy,(Blaster) Raymancer,10 SP,N/A
Power Copy,(Blaster/Shaker) Sere,12 SP,N/A
Power Copy,(Blaster) Scrub,13 SP,N/A
Power Copy,Power Copy Thinker,,N/A
Power Copy,(Thinker) Big Picture,1 SP,N/A
Power Copy,(Thinker) Appraiser,1 SP,N/A
Power Copy,(Thinker) Eleventh Hour,1 SP,N/A
Power Copy,(Thinker/Changer) Blackforest,1 SP,N/A
Power Copy,(Thinker) Danger Zone ,1 SP,N/A
Power Copy,(Thinker/Blaster) Gallant,1 SP,N/A
Power Copy,(Thinker) Mapright,1 SP,N/A
Power Copy,(Thinker) Nero,1 SP,N/A
Power Copy,(Thinker) Sean Gilpatrick,1 SP,N/A
Power Copy,(Thinker) Squint,1 SP,N/A
Power Copy,(Thinker) Über,1 SP,N/A
Power Copy,(Thinker) Venarum,1 SP,N/A
Power Copy,(Thinker) Operator Red,2 SP,N/A
Power Copy,(Thinker) Ratcatcher,2 SP,N/A
Power Copy,(Thinker) Samuel Vasil,2 SP,N/A
Power Copy,(Thinker) Unter,2 SP,N/A
Power Copy,(Thinker) Braindead,3 SP,N/A
Power Copy,(Thinker) Spur,3 SP,N/A
Power Copy,(Thinker) Vessel,3 SP,N/A
Power Copy,(Thinker) Coil,4 SP,N/A
Power Copy,(Thinker) Tattletale,4 SP,N/A
Power Copy,(Thinker/Blaster) Arbiter,5 SP,N/A
Power Copy,(Thinker) Birdbrain,5 SP,N/A
Power Copy,(Thinker) Figurehead,5 SP,N/A
Power Copy,(Thinker/Blaster) Homer,5 SP,N/A
Power Copy,(Thinker) Pinpoint,5 SP,N/A
Power Copy,(Thinker/Stranger) Victor,5 SP,N/A
Power Copy,(Thinker) Junco,5 SP,N/A
Power Copy,(Thinker) Accord,6 SP,N/A
Power Copy,(Thinker/Trump) Ahrima,6 SP,N/A
Power Copy,(Thinker) Jonathan Miller,6 SP,N/A
Power Copy,(Thinker) Roulette,6 SP,N/A
Power Copy,(Thinker) Shén Yù,7 SP,N/A
Power Copy,(Thinker/Changer) Crock o’Shit,7 SP,N/A
Power Copy,(Thinker/Striker) Horizon,7 SP,N/A
Power Copy,(Thinker) One,8 SP,N/A
Power Copy,(Thinker/Striker) March,10 SP,N/A
Power Copy,(Thinker) Kid Cassandra,11 SP,N/A
Power Copy,Power Copy Striker,,N/A
Power Copy,(Striker) Leister,1 SP,N/A
Power Copy,(Striker) Mirrormask,1 SP,N/A
Power Copy,(Striker/Master) Prong,1 SP,N/A
Power Copy,(Striker) Cinderhands,2 SP,N/A
Power Copy,(Striker/Master) Captain Claw,3 SP,N/A
Power Copy,(Striker) Cascade,3 SP,N/A
Power Copy,(Striker) Clockblocker,3 SP,N/A
Power Copy,(Striker) Diamondtooth,3 SP,N/A
Power Copy,(Striker/Shaker) Golem,3 SP,N/A
Power Copy,(Striker/Shaker) Little Midas,3 SP,N/A
Power Copy,(Striker) Mystic Magic Impaler,3 SP,N/A
Power Copy,(Striker/Thinker) Scapegoat,3 SP,N/A
Power Copy,(Striker/Mover) Vulturehawk,3 SP,N/A
Power Copy,(Striker) Assault,4 SP,N/A
Power Copy,(Striker) Grace,4 SP,N/A
Power Copy,(Striker) Hemorrhagia,4 SP,N/A
Power Copy,(Striker/Mover) Newter,4 SP,N/A
Power Copy,(Striker) Rail,4 SP,N/A
Power Copy,(Striker/Breaker) Brandish,5 SP,N/A
Power Copy,(Striker/Thinker) Chevalier,5 SP,N/A
Power Copy,(Striker/Trump) Dauntless,5 SP,N/A
Power Copy,(Striker) Faultline ,5 SP,N/A
Power Copy,(Striker) Vellum,5 SP,N/A
Power Copy,(Striker/Master) Chastity Vasil,6 SP,N/A
Power Copy,(Striker/Shaker) Epoch,6 SP,N/A
Power Copy,(Striker) Mr. Bough,6 SP,N/A
Power Copy,(Striker) Thud,6 SP,N/A
Power Copy,(Striker/Blaster) Ballistic,7 SP,N/A
Power Copy,(Striker) Flashpoint,7 SP,N/A
Power Copy,(Striker/Brute) King,7 SP,N/A
Power Copy,(Striker/Shaker) Warrior Princess Kaguya,7 SP,N/A
Power Copy,(Striker/Shaker) Blowout,8 SP,N/A
Power Copy,(Striker/Brute) Prolapse,9 SP,N/A
Power Copy,(Striker/Brute) Ravager,8 SP,N/A
Power Copy,(Striker/Blaster) Flechette/Foil,10 SP,N/A
Power Copy,(Striker/Blaster) Switch Hitter,10 SP,N/A
Power Copy,(Striker) Happyland,13 SP,N/A
Power Copy,(Striker/Brute) Hoyden,13 SP,N/A
Power Copy,(Striker) Panacea,14 SP,N/A
Power Copy,(Striker) The Slug,15 SP,N/A
Power Copy,Power Copy Changer,,N/A
Power Copy,(Changer) Oliver,1 SP,N/A
Power Copy,(Changer) Teacup,1 SP,N/A
Power Copy,(Changer) Genoscythe,2 SP,N/A
Power Copy,(Changer) Seashell,2 SP,N/A
Power Copy,(Changer) Chugalug,3 SP,N/A
Power Copy,(Changer/Stranger) Matryoshka,3 SP,N/A
Power Copy,(Changer/Brute) Sightly,3 SP,N/A
Power Copy,(Changer) Mog,4 SP,N/A
Power Copy,(Changer) Mush,4 SP,N/A
Power Copy,(Changer/Shaker) Marquis,5 SP,N/A
Power Copy,(Changer/Brute) Nailbiter,5 SP,N/A
Power Copy,(Changer) Animos,6 SP,N/A
Power Copy,(Changer) ​​Skinslip,6 SP,N/A
Power Copy,(Changer/Shaker) Campanile,6 SP,N/A
Power Copy,(Changer) Barfbat,7 SP,N/A
Power Copy,(Changer/Brute) Browbeat,7 SP,N/A
Power Copy,(Changer/Trump) Foulpig,7 SP,N/A
Power Copy,(Changer/Brute) Hookwolf ,7 SP,N/A
Power Copy,Power Copy Trump,,N/A
Power Copy,(Trump) Gunnery Anne,3 SP,N/A
Power Copy,(Trump) Deva Yaga,4 SP,N/A
Power Copy,(Trump) Tribute,4 SP,N/A
Power Copy,(Trump) Abhorror (Glob),6 SP,N/A
Power Copy,(Trump) Queen of Swords,6 SP,N/A
Power Copy,(Trump) Upperhand,6 SP,N/A
Power Copy,(Trump) Usher,6 SP,N/A
Power Copy,(Trump/Mover) Spright,7 SP,N/A
Power Copy,(Trump) Trophy Wife,7 SP,N/A
Power Copy,(Trump/Master) Bastard Son,8 SP,N/A
Power Copy,(Trump/Changer) Blue Bomber,8 SP,N/A
Power Copy,(Trump) Othala,8 SP,N/A
Power Copy,(Trump) Amaymon,10 SP,N/A
Power Copy,(Trump) Two,10 SP,N/A
Power Copy,(Trump) Citrine,12 SP,N/A
Power Copy,(Trump/Shaker) Contender,12 SP,N/A
Power Copy,(Trump) Galvanate,12 SP,N/A
Power Copy,(Trump/Brute) Hatchetface,12 SP,N/A
Power Copy,(Trump) Ingenue,12 SP,N/A
Power Copy,(Trump) Null,12 SP,N/A
Power Copy,(Trump/Shaker) The Pharmacist,12 SP,N/A
Power Copy,(Trump) Flint,15 SP,N/A
Power Copy,Power Copy Stranger,,N/A
Power Copy,(Stranger) Circus,2 SP,N/A
Power Copy,(Stranger/Shaker) Feint,2 SP,N/A
Power Copy,(Stranger/Shaker) Foggy Idea,2 SP,N/A
Power Copy,(Stranger/Shaker) Error,3 SP,N/A
Power Copy,(Stranger/Shaker) Nix,3 SP,N/A
Power Copy,(Stranger) Othello,4 SP,N/A
Power Copy,(Stranger/Brute) The Man in the Corners,4 SP,N/A
Power Copy,(Stranger) Blindside ,5 SP,N/A
Power Copy,(Stranger) August Prince,6 SP,N/A
Power Copy,(Stranger) Imp,6 SP,N/A
Power Copy,(Stranger/Trump) Mantellum,6 SP,N/A
Power Copy,(Stranger/Master) Psychosoma,6 SP,N/A
Power Copy,(Stranger) Miasma,7 SP,N/A
Power Copy,(Stranger/Shaker) Nyx,7 SP,N/A
Power Copy,(Stranger/Mover) Leonid,8 SP,N/A
Power Copy,(Stranger) Nice Guy,12 SP,N/A
Power Copy,(Stranger) Topsy,12 SP,N/A
Power Copy,(Stranger) The Custodian,15 SP,N/A
Tier 2 Powers,(Trump) Gamer System,20 SP,N/A
Tier 2 Powers,"(Shaker/Blaster) Magnets, Son! How do they work?",15 SP,N/A
Tier 2 Powers,(Master/Stranger) If Anything Were To Happen…,15 SP,N/A
Tier 2 Powers,(Changer/Trump) Pokemon,25 SP,N/A
Tier 2 Powers,(Brute) Unlimited Potential,15 SP,N/A
Tier 2 Powers,(Trump/Breaker) Emulation of an Alien Caveman,25 SP,N/A
Tier 2 Powers,(Breaker/Trump) Cronus,20 SP,N/A
Tier 2 Powers,(Brute) Typhon,20 SP| 100 SP,Incompatible: End of the Kaiju
Tier 2 Powers,(Changer) The End-Becomer,20 SP| 100 SP,Incompatible: End of the Kaiju
Tier 2 Powers,(Master) Bringer of the End,20 SP| 100 SP,Incompatible: End of the Kaiju
Tier 2 Powers,(Shaker) Inviolable,15 SP,N/A
Tier 2 Powers,(Trump) Aliena,20 SP,N/A
Tier 2 Powers,(Trump) Eidolon,20 SP,N/A
Tier 2 Powers,(Breaker/Trump) Ignis Fatuus ,20 SP,N/A
Tier 2 Powers,(Thinker/Breaker) For The Want Of A Nail,20 SP,N/A
Tier 2 Powers,(Tinker) Hero,20 SP| 10 SP,N/A
Tier 2 Powers,(Brute/Mover) Alexandria,20 SP,N/A
